TransactionID,OrderDate,TransactionDate,ShippingDate,CustomerID,ProductID,SKU,StoreID,Warehouse,Country,City,SalesChannel,PaymentMethod,OrderStatus,Quantity,UnitPrice,GrossSales,DiscountPct,DiscountAmount,NetSales,COGS,ShippingCost,ShippingMethod,DeliveryDays,MarketingCost,CampaignID,CampaignName,ReturnFlag,ReturnReason,CancellationFlag,NewVsReturning,InventoryLevel,StockStatus,ProductRating,CustomerSegment,AgeGroup,Gender,AcquisitionSource,LoyaltyTier,ProductName,Brand,ProductCategory,ProductSubcategory,SkinConcern,ProductSizeML,UnitCost,ProductLaunchDate
T923093,26/01/2022,01/26/2022,,C506220,P1107,LW-EC-ACN-1107,S120,WH-VIE-HAN,Vietnam,Hanoi,Retail Store,Cash on Delivery,Completed,2,126.43,252.86,0,0,$252.86,81.78,0,Store Pickup,0,0,,,No,-,No,Returning,590,In Stock,5,Premium,45-54,Female,Referral,Silver,Soothe Recovery Spot Treatment (200ml),EcoPure,Acne Care,Spot Treatment,Redness,200,40.89,11/03/2020
T914293,17/06/2024,17/06/2024,24-Jun-24,C502055,P1101,LW-EC-MOI-1101,ONLINE,WH-THA-MAIN,Thailand,Chiang Mai,E-commerce,Cash on Delivery,Completed,3,16.38,49.14,30,14.74,34.4,15.24,4.07,Express,8,1.27,CMP0028,6.6 Mega Sale 2024,No,N/A,No,New,3,Low Stock,,VIP,35-44,Female,Influencer,Bronze,Calm Barrier Emulsion (50ml),EcoPure,Moisturizer,Emulsion,Aging/Wrinkles,50,5.08,20/05/2019
T900291,16/10/2024,16/10/2024,18/10/2024,C502776,P1073,LW-AU-BOD-1073,ONLINE,WH-CHI-MAIN,China,Beijing,Social Commerce,Cash on Delivery,Completed,3,55.84,167.52,0,$0.00,167.52,46.92,2.28,Standard,7,0,,N/A,No,N/A,No,Returning,250,In Stock,,VIP,18-24,Male,Organic Search,None,Radiant Ritual Body Lotion (250ml),Aurora Prestige,Body Care,Body Lotion,Oiliness,250,15.64,09/01/2022
T903838,05/05/2023,05-May-23,"May 12, 2023",C504846,P1101,LW-EC-MOI-1101,ONLINE,WH-IND-MAIN,Indonesia,Jakarta,E-commerce,Debit Card,Returned,-3,16.38,49.14,0,0,49.14,15.24,2.54,Express,9,0,,,Yes,,No,Returning,424,In Stock,,Premium,35-44,Male,Paid Social,Bronze,Calm Barrier Emulsion (50ml),EcoPure,Moisturizer  ,Emulsion,Aging/Wrinkles,50,5.08,20/05/2019
T911588,10/01/2022,01/10/2022,17/01/2022,C503677,P1008,LW-SE-SUN-1008,ONLINE,WH-JAP-MAIN,Japan,Osaka,Online Marketplace,Digital Wallet,Completed,1,35.36 USD,35.36,0,0,35.36,10.55,4.44,Express,12,0,,N/A,No,N/A,No,Returning,194,In Stock,,VIP,45-54,Other,Email Campaign,None,Velvet Elixir Sun Cushion (100ml),Seoul Glow,Sunscreen,Sun Cushion,General Care,100,10.55,09/07/2020
T901583,08-Jun-23,08/06/2023,12/06/2023,C500435,P1107,LW-EC-ACN-1107,ONLINE,WH-AUS-MAIN,Australia,Sydney,Online Market Place,Credit Card,Cancelled,3,126.43,379.29,0,0,379.29,122.67,6.02,Standard,8,0,,-,No,N/A,Yes,Returning,794,In Stock,,Premium,35-44,Female,Distributor B2B,Bronze,Soothe Recovery Spot Treatment (200ml),EcoPure,Acne Care,Spot Treatment,Redness,200,40.89,11/03/2020
T902545,09/10/2021,09/10/2021 0:00,"October 14, 2021",C502759,P1101, LW-EC-MOI-1101 ,ONLINE,WH-JAP-MAIN,Japan,Nagoya,E-commerce,Digital Wallet,Returned,2,16.38,32.76,0,0,32.76,10.16,2.86,Express,10,0,,N/A,Yes,Quality Issue,No,Returning,581,In Stock,,Premium,45-54,,Retail Walk-in,Bronze,Calm Barrier Emulsion (50ml),EcoPure,Moisturizer,Emulsion,Aging/Wrinkles,50,5.08,20/05/2019
T916004,09/12/2023,12/09/2023,11/12/2023,C501911,P1049,LW-CL-EYE-1049,ONLINE,WH-JAP-MAIN,Japan,  Osaka,Social Commerce,Cash on Delivery,Completed,4,$162.86,651.44,0,0,651.44,218.44,7.56,Standard,7,0,,,No,,No,Returning,44,In Stock,,Mass,18-24,Other,Marketplace Search,Silver,Renew Bloom Eye Serum (150ml),ClearDerm,Eye Care,Eye Serum,Pores,150,54.61,02/05/2020
T904090,11-May-24,11/05/2024,14/05/2024 0:00,C500224,P1120,LW-EC-ANT-1120,S121,WH-VIE-MAIN,Vietnam,Ho Chi Minh City,distributor,Bank Transfer,Completed,36,116.57,4196.52,0,0,4196.52,1841.76,35.11,Freight (B2B),6,0,,-,No,,No,Returning,795,In Stock,,Premium,35-44,Other,Email Campaign,None,Renew Lift Collagen Ampoule (100ml),EcoPure,Anti-Aging,Collagen Ampoule,Redness,100,51.16,28/04/2022
T919925,10/27/2024,27/10/2024,28-Oct-24,,P1022,LW-SE-BOD-1022,ONLINE,WH-VIE-MAIN,Vietnam,Hanoi,Social Commerce,Store Credit,Completed,2,13.43,26.86,0,0,26.86,12,3.99,Express,5,0,,,No,Unknown,No,Returning,760,In Stock,,Mass,45-54,M,Email Campaign,Gold,Revive Infusion Body Scrub (200ml),Seoul Glow,Body Care,Body Scrub,Aging/Wrinkles,200,6,17/08/2022
T901580,27/07/2022 0:00,07/27/2022,30/07/2022,C503089,P1074,LW-AU-EYE-1074,ONLINE,WH-CHI-MAIN,China,Shanghai,Online Marketplace,Digital Wallet,Cancelled,5,1575.11,7875.55,10,787.56,7087.99,2782.95,4.85,Standard,6,0,,,No,,Yes,Returning,199,In Stock,,PREMIUM,18-24,Female,Marketplace Search,Silver,Aqua Lift Eye Patch (400ml),Aurora Prestige,Eye Care,Eye Patch,Oiliness,400,556.59,02/09/2019
T905537,07/04/2022,07/04/2022,,C505218,P1029,LW-HE-ANT-1029,S122,WH-PHI-MAN,Philippines,Cebu City,Retail Store,Debit Card,Completed,5,168.32,841.6,0,0,841.6,217.6,0,Store Pickup,0,0,,None,No,,No,New,108,In Stock,5,Mass,18-24,FEMALE,Marketplace Search,Bronze,Silk Essence Wrinkle Cream (100ml),Herbal Roots,Anti-Aging,Wrinkle Cream,Acne,100,43.52,02/07/2020
T914760,11/13/2021,13/11/2021,11/20/2021,C507211,P1114,LW-EC-BOD-1114,ONLINE,WH-VIE-MAIN,Vietnam,Ho Chi Minh City,Online Marketplace,Credit Card,Completed,2,30.06,60.12,0,0,60.12,17.86,1.82,Standard,10,0,,,No,-,No,Returning,650,In Stock,,Mass,18-24,female,Referral,None,Glow Petal Body Wash (250ml),ecopure,Body Care,Body Wash,Hyperpigmentation,250,8.93,15/02/2019
T908658,07/11/2023,11/07/2023,14/11/2023,C503544,P1001,LW-SE-MOI-1001,ONLINE,WH-THA-MAIN,Thailand,Chiang Mai,E-commerce,Debit Card,Completed,2,7.2,14.4,10,1.44,12.96,$6.38,3.81,Standard,9,1.23,CMP0067,Retargeting - Thailand 2023,No,Unknown,No,Returning,179,In Stock,,Mass,45-54,FEMALE,Referral,None,Silk Veil Cream (30ml),Seoul Glow,Moisturizer,Cream,Sensitivity,30,3.19,03/09/2022
T920015,17-Apr-21,17-Apr-21,23/04/2021,C505771,P1025,LW-HE-EYE-1025,ONLINE,WH-THA-MAIN,Thailand,Bangkok,Social Commerce,Cash on Delivery,Returned,1,43.12,43.12,0,0,43.12,17.99,3.36,Standard,7,0,,,Yes,Ordered by Mistake,No,Returning,560,In Stock,,Mass,35 - 44,Female,Referral,Gold,Botanical Shield Eye Patch (30ml),Herbal Roots,Eye Care,Eye Patch,Oiliness,30,17.99,11/12/2019
T920033,11/07/2024,07/11/2024,18/07/2024,C501311,P1073,LW-AU-BOD-1073,ONLINE,WH-UNI-MAIN,United States,Los Angeles,Online Marketplace,Credit Card,Completed,3,55.84,167.52,0,0,167.52,46.92,3.05,Standard,12,0,,,No,Unknown,No,New,44,In Stock,,Mass,25-34,Female,Referral,None,Radiant Ritual Body Lotion (250ml),Aurora Prestige,Body Care,Body Lotion,Oiliness,250,15.64,09/01/2022
T917686,04/12/2023 0:00,04/12/2023,"December 06, 2023",C504508,P1103,LW-EC-TON-1103,ONLINE,WH-THA-MAIN,Thailand,Chiang Mai,E-commerce,Cash on Delivery,Completed,1,52.7,52.7,0,0,52.7,19.88,4.31,Express,5,0,,None,No,N/A,No,New,639,In Stock,,Mass,25-34,Female,Organic Search,Bronze,Aqua Petal Essence Toner (400ml),EcoPure,Toner,Essence Toner,Oiliness,400,19.88,24/07/2022
T916565,01/01/2023,01-Jan-23,08/01/2023,C501661,P1036,LW-HE-BOD-1036,ONLINE,WH-SIN-MAIN,Singapore,Singapore,E-commerce,Credit Card,Completed,1,3.96,3.96,0,0,3.96,1.02,4.9,Standard,8,0,,-,No,,No,Returning,602,In Stock,,Mass,18 - 24,F,Organic Search,Bronze,Velvet Recovery Body Lotion (30ml),Herbal Roots,Body Care,Body Lotion,Uneven Texture,30,1.02,08/06/2022
T901714,"September 11, 2022",11/09/2022,16/09/2022,C507028,P1050,LW-CL-FAC-1050,ONLINE,WH-TAI-MAIN,Taiwan,Kaohsiung,Online Marketplace,Digital Wallet,Completed,3,33.05,99.15,0,0,99.15,27.15,2.92,Standard,10,0,,None,No,,No,Returning,84,In Stock,4,  Premium,18to24,Female,Organic Search,Bronze,Fresh Ritual Peel-off Mask (100ml),ClearDerm,Face Mask,Peel-off Mask,Uneven Texture,100,9.05,01/07/2019
T913552,"April 24, 2023",24/04/2023,28/04/2023,C504874,P1115,LW-EC-SER-1115,S104,WH-SOU-MAIN,South Korea,Seoul,Distributor,Bank Transfer,Processing,24,223.11,5354.64,0,0,5354.64,2176.32,37.18,Freight (B2B),6,0,,-,No,,No,New,11,Low Stock,,Mass,45-54,Female,Referral,Platinum,Fresh Infusion Vitamin C Serum (250ml),EcoPure,Serum,Vitamin C Serum,Sensitivity,250,90.68,08/08/2022
T903555,04/06/2023,06/04/2023,"June 11, 2023",C505593,P1075,LW-AU-MOI-1075,ONLINE,WH-SOU-MAIN,South Korea,Incheon,E-commerce,Bank Transfer,Completed,1,34.18,34.18,0,0,34.18,8.75,2,Standard,12,0,,,No,Unknown,No,Returning,383,In Stock,5,VIP,25-34,female,Distributor B2B,Bronze,Silk Veil Cream (50ml),Aurora Prestige,Moisturizer,Cream,Dryness,50,8.75,22/08/2020
T915863,30/07/2024,30-Jul-24,31/07/2024,C504346,P1022,LW-SE-BOD-1022,ONLINE,WH-MAL-MAIN,Malaysia,Kuala Lumpur,Online Marketplace,Cash on Delivery,Completed,1,13.43,13.43,0,0,13.43,6,8.09,Express,6,0,,,No,,No,Returning,226,In Stock,4,Mass,35-44,Male,Paid Social,None,Revive Infusion Body Scrub (200ml),  Seoul Glow,Body Care,Body Scrub,Aging/Wrinkles,200,6,17/08/2022
T906683,07/02/2023,07/02/2023 0:00,13/02/2023,C507085,P1071,LW-CL-FAC-1071,ONLINE,WH-AUS-MAIN,Australia,Sydney,Social Commerce,Cash on Delivery,Completed,1,11.49,11.49,0,0,11.49,2.98,7.9,Express,11,0,,N/A,No,N/A,No,Returning,327,In Stock,,Premium,35-44,Female,Organic Search,Silver,Botanical Petal Sleeping Pack (30ml),ClearDerm,Face Mask,Sleeping Pack,Oiliness,30,2.98,01/08/2021
T920016,"August 22, 2022",22/08/2022,26/08/2022,C500160,P1101,LW-EC-MOI-1101,ONLINE,WH-JAP-MAIN,Japan,Tokyo,Online Marketplace,Debit Card,Cancelled,1,16.38,16.38,0,0,16.38,5.08,3.62,Standard,5,1.95,CMP0051,Flash Sale - All Markets 2022,No,Unknown,Yes,New,257,In Stock,,Premium,18to24,Female,Affiliate,Gold,Calm Barrier Emulsion (50ml),EcoPure,Moisturizer,Emulsion,Aging/Wrinkles,50,5.08,20/05/2019
T913468,"May 11, 2024",11/05/2024,15/05/2024,C503759,P1081,LW-AU-CLE-1081,ONLINE,WH-THA-MAIN,Thailand,Chiang Mai,Social Commerce,Credit Card,Processing,1,119.43,119.43,0,0,119.43,35.43,5.48,Same-Day,5,0,,,No,,No,Returning,720,In Stock,,Premium,35-44,Female,Distributor B2B,None,Dewy Recovery Cleansing Balm (400ml),Aurora Prestige,Cleanser,Cleansing Balm,Redness,400,35.43,24/03/2020
T919201,19/08/2024,19/08/2024,21/08/2024,C502347,P1045,LW-HE-SER-1045,ONLINE,WH-PHI-MAIN,Philippines,Manila,Social Commerce,Credit Card,Completed  ,2,222.24,444.48,25%,111.12,333.36,123.32,4.32,Express,6,2.5,CMP0029,8.8 Beauty Fest 2024,No,N/A,No,Returning,650,In Stock,4,Mass,55+,Female,Retail Walk-in,Silver,Soothe Barrier Brightening Serum (200ml),Herbal Roots,Serum,Brightening Serum,Sensitivity,200,61.66,22/04/2020
T921904,17-May-22,17/05/2022,"May 20, 2022",C502495,P1107,LW-EC-ACN-1107,ONLINE,WH-THA-MAIN,Thailand,Bangkok,Online Marketplace,Digital Wallet,Completed,1,126.43,126.43,0,0,126.43,40.89,1.54,Standard,5,3.11,CMP0052,Seasonal Sale - Thailand 2022,No,Unknown,No,New,569,In Stock,4,Mass,35-44,Female,Email Campaign,Bronze,Soothe Recovery Spot Treatment (200ml),EcoPure,Acne Care,Spot Treatment,Redness,200,40.89,11/03/2020
T915922,02/07/2023,02/07/2023,09/02/2023 0:00,C506066,P1115,LW-EC-SER-1115,ONLINE,WH-SOU-MAIN,south korea,Busan,E-commerce,Cash on Delivery,Completed,1,223.11,223.11,0,0,223.11,90.68,4.54,Same-Day,7,0,,,No,,No,Returning,454,In Stock,,Mass,25-34,FEMALE,Affiliate,None,Fresh Infusion Vitamin C Serum (250ml),EcoPure,Serum,Vitamin C Serum,Sensitivity,250,90.68,08/08/2022
T915141,22-Jul-23,22/07/2023 0:00,24/07/2023,C501756,P1104,LW-EC-TON-1104,ONLINE,WH-CHI-MAIN,China,Guangzhou,E-commerce,Digital Wallet,Returned,1,18.12,18.12,0,0,18.12,4.61,7.74,Standard,5,0,,-,Yes,Did Not Match Description,No,Returning,163,In Stock,,Premium,35-44,female,Organic Search,Bronze,Aqua Petal Essence Toner (100ml),EcoPure,Toner  ,Essence Toner,Oiliness,100,4.61,24/07/2022
T919582,02/12/2022,12/02/2022,,C503177,P1106,LW-EC-CLE-1106,S103,WH-SOU-INC,South Korea,Seoul,Retail Store,Credit Card,Completed,1,49.42,49.42,15,7.41,42.01,15.19,0,Store Pickup,0,0,CMP0054,Influencer Collab - All Markets 2022,No,,No,New,280,In Stock,,Premium,25-34,Female,Paid Social,None,Pure Complex Gel Cleanser (400ml),EcoPure,Cleanser,Gel Cleanser,Uneven Texture,400,15.19,09/08/2022
T921034,"July 29, 2021",07/29/2021,05-Aug-21,C502308,P1058,LW-CL-BOD-1058,ONLINE,WH-JAP-MAIN,Japan,Tokyo,Online Marketplace,Cash on Delivery,Returned,-1,14.5,14.5,0,0,14.5,6.22,8.06,Express,11,0,,-,Yes,,No,Returning,693,In Stock,,Mass,35-44,N/A,Email Campaign,Silver,Silk Harmony Hand Cream (250ml),ClearDerm,Body Care,Hand Cream,Acne,250,6.22,02/01/2020
T907381,07/24/2024,07/24/2024,25-Jul-24,C503544,P1013,LW-SE-BOD-1013,ONLINE,WH-THA-MAIN,Thailand,Chiang Mai,E-commerce,Debit Card,Completed,5,18.92,94.6,0,0,94.6,27.6,10.51,Standard,4,0,,None,No,,No,Returning,644,In Stock,,Mass,45-54,Woman,Referral,None,Crystal Elixir Body Lotion (150ml),Seoul Glow,Body Care,Body Lotion,Oiliness,150,5.52,22/01/2023
T918256,23-Aug-24,08/23/2024,28/08/2024,C506758,P1025,LW-HE-EYE-1025,ONLINE,WH-MAL-MAIN,Malaysia,Penang,Online Marketplace,Bank Transfer,Completed,5,43.12,$215.60,25,53.9,161.7,89.95,4.36,Standard,7,2.96,CMP0029,8.8 Beauty Fest 2024,No,N/A,No,New,72,In Stock,5,Mass,18-24,Female  ,Distributor B2B,Silver,Botanical Shield Eye Patch (30ml),Herbal Roots,Eye Care,Eye Patch,Oiliness,30,17.99,11/12/2019
T904487,14/08/2021,14/08/2021,08/19/2021,C500378,P1025,LW-HE-EYE-1025,ONLINE,WH-IND-MAIN,Indonesia,Surabaya,E-commerce,Digital Wallet,Cancelled,2,43.12,86.24,0,0,86.24,35.98,8.43,Same-Day,6,0,,,No,,Yes,Returning,295,In Stock,,Mass,45-54,Female,Organic Search,Bronze,Botanical Shield Eye Patch (30ml),Herbal Roots,Eye Care,Eye Patch,Oiliness,30,17.99,11/12/2019
T916906,06/30/2023,30/06/2023,07-Jul-23,C500235,P1026,LW_HE_SUN_1026,ONLINE,WH-TAI-MAIN,Taiwan,Taipei,Online Market Place,Cash on Delivery,Completed,1,16.35,16.35,0,0,16.35,4.37,6.58,Express,12,0,,-,No,,No,Returning,628,In Stock,,Premium,35 - 44,Female,Referral,Bronze,Luminous Essence Sun Cream (50ml),Herbal Roots,Sunscreen,Sun Cream,Pores,50,4.37,15/02/2022
T912579,30/12/2022,30/12/2022,03/01/2023,C507019,P1114,LW-EC-BOD-1114,ONLINE,WH-TAI-MAIN,Taiwan,Taipei,market place,Bank Transfer,Completed,1,30.06,30.06,0,0,30.06,8.93,2.03,Express,8,0,,,No,,No,Returning,451,In Stock,,Mass,35-44,Male,Affiliate,Gold,Glow Petal Body Wash (250ml),EcoPure,Body Care,Body Wash,Hyperpigmentation,250,8.93,15/02/2019
T905286,14-Nov-24,11/14/2024,11/21/2024,C505149,P1103,LW-EC-TON-1103,ONLINE,WH-JAP-MAIN,Japan,Tokyo,Online Marketplace,Credit Card,Completed,1,52.7,52.7,10,5.27,47.43,$19.88,2.49,Standard,9,0,,,No,-,No,Returning,530,In Stock,4,Mass,35-44,female,Retail Walk-in,None,Aqua Petal Essence Toner (400ml),EcoPure,Toner,Essence Toner,Oiliness,400,19.88,24/07/2022
T902246,23-Apr-23,23/04/2023,27/04/2023,C500435,P1067,LW-CL-FAC-1067,ONLINE,WH-AUS-MAIN,Australia,Melbourne,E-commerce,Store Credit,Returned,2,89.13,178.26,0%,0,178.26,49.82,1.56,Same-Day,5,0,,,Yes,Price Match Found Elsewhere,No,Returning,70,In Stock,,Premium,35-44,Female,Distributor B2B,Bronze,Pure Veil Peel-off Mask (250ml),ClearDerm,Face Mask,Peel-off Mask,Oiliness,250,24.91,01/12/2022
T910412,31-May-23,31/05/2023,06/06/2023,C506654,P1081,LW-AU-CLE-1081,ONLINE,WH-IND-MAIN,Indonesia,Surabaya,online store,Credit Card,Completed,5,119.43,597.15,0,0,597.15,177.15,4.65,Same-Day,9,0,,,No,Unknown,No,New,714,In Stock,,Mass,25-34,Female,Referral,None,Dewy Recovery Cleansing Balm (400ml),Aurora Prestige,Cleanser,Cleansing Balm,Redness,400,35.43,24/03/2020
T913979,15/06/2022,15-Jun-22,19/06/2022,C500442,P1039,LW-HE-CLE-1039,ONLINE,WH-SOU-MAIN,South Korea,Incheon,Online Market Place,Debit Card,Completed,1,7,7,0%,0,7,2.12,7.82,Standard,6,0,,,No,-,No,Returning,313,In Stock,4,Premium  ,35-44,Female,Affiliate,Silver,Dewy Ritual Cleansing Balm (50ml),Herbal Roots,Cleanser,Cleansing Balm,Uneven Texture,50,2.12,03/06/2020
T921153,02/02/2023,02-Feb-23,02/03/2023,C504735,P1059,LW-CL-EYE-1059,ONLINE,WH-TAI-MAIN,Taiwan,Taipei,Online,Debit Card,Completed,2,499.09,998.18,0,0,998.18,281.04,4.05,Express,6,0,,None,No,Unknown,No,New,430,In Stock,,Mass,45-54,Female,Email Campaign,Bronze,Revive Infusion Eye Serum (400ml),ClearDerm,Eye Care,Eye Serum,Uneven Texture,400,140.52,23/11/2020
T911022,08/02/2024,08/02/2024,13/02/2024,C501422,P1030,LW-HE-ACN-1030,ONLINE,WH-UNI-MAIN,United States,Los Angeles,Online Marketplace,Bank Transfer,Completed,2,74.19,148.38,0,0,148.38,64.24,1.91,Standard,8,0,,,No,Unknown,No,New,512,In Stock,,Premium,18-24,Female,Influencer,Silver,Tender Essence Blemish Serum (150ml),Herbal Roots,Acne Care,Blemish Serum,Oiliness,150,32.12,19/01/2020
T907986,10/08/2021,10/08/2021,14/08/2021,C507085,P1092,LW-AU-MOI-1092,ONLINE,WH-AUS-MAIN,Australia,Melbourne,Online,Credit Card,Completed,1,109.48,109.48,0,0,109.48,27.69,7.26,Express,5,0,,N/A,No,,No,Returning,422,In Stock,,Premium,35-44,Female,Organic Search,Silver,Silk Balance Gel Cream (150ml),Aurora Prestige,Moisturizer,Gel Cream,Sensitivity,150,27.69,05/09/2019
T916430,14/05/2024,14/05/2024,21/05/2024 0:00,C504388,P1077,LW-AU-ACN-1077,ONLINE,WH-PHI-MAIN,Philippines,,E-commerce,Cash on Delivery,Pending,3,454.68,1364.04,0,0,1364.04,347.55,8.62,Express,11,0,,-,No,,No,New,398,In Stock,,Mass,45-54,Female,Email Campaign,Bronze,Bright Elixir Blemish Serum (250ml),Aurora Prestige,Acne Care,Blemish Serum,Dullness,250,115.85,19/02/2024
T920243,06/11/2023,06/11/2023,13/11/2023,C504761,P1072,LW-AU-BOD-1072,S138,WH-UNI-MAIN,United States,Los Angeles,Distributor,Bank Transfer,Completed,60,8.21,492.6,0,0,492.6,190.8,63.64,Freight (B2B),12,0,,,No,Unknown,No,New,272,In Stock,4,mass,45-54,Female,Marketplace Search,Gold,Radiant Ritual Body Lotion (50ml),Aurora Prestige,Body Care,Body Lotion,Oiliness,50,3.18,09/01/2022
T919035,15/07/2024,15/07/2024,"July 21, 2024",C505914,P1114,LW-EC-BOD-1114,ONLINE,WH-VIE-MAIN,Vietnam,Hanoi,Online,Cash on Delivery,Completed,1,30.06,30.06,0,0,30.06,8.93,7.1,Standard,7,0,,N/A,No,N/A,No,Returning,231,In Stock,4,Mass,18-24,Male,Influencer,None,Glow Petal Body Wash (250ml),EcoPure,Body Care,Body Wash,Hyperpigmentation,250,8.93,15/02/2019
T918951,11/28/2024,28/11/2024,,C500490,P1046,LW-HE-EYE-1046,S130,WH-IND-JAK,Indonesia,Jakarta,RETAIL STORE,Digital Wallet,Completed,1,82.4,82.4,5,4.12,78.28,29.45,0,Store Pickup,0,0,CMP0081,Retargeting - All Markets 2024,No,Unknown,No,Returning,688,In Stock,,Mass,35-44,Male,Influencer,None,Silk Lift Eye Serum (50ml),Herbal Roots,Eye Care,Eye Serum,Hyperpigmentation,50,29.45,06/01/2023
